"calvin%20harris @Madison Square Garden, 2014-12-12T19:00:00"	253
"justin%20timberlake @Madison Square Garden, 2014-02-21T20:00:00"	1801
"pharrell%20williams @Madison Square Garden, 2014-07-14T19:00:00"	1305
"jason%20mraz @Radio City Music Hall, 2014-09-22T19:00:00"	775
"pharrell%20williams @Apollo Theater, 2014-06-03T20:00:00"	39
"iggy%20azalea @Irving Plaza, 2014-05-05T19:00:00"	502
"iggy%20azalea @Madison Square Garden, 2014-12-12T19:00:00"	577
"justin%20timberlake @Barclays Center, 2014-12-14T20:00:00"	40
"mariah%20carey @Beacon Theatre, 2014-12-22T20:00:00"	541
"jason%20mraz @Brooklyn Center for the Performing Arts, 2014-09-17T19:00:00"	1
"lady%20gaga @Roseland Ballroom, 2014-04-02T20:00:00"	1254
"maroon%205 @Z100 Jingle Ball, 2014-12-12T19:00:00"	310
"iggy%20azalea @Rockefeller Center, 2014-08-08T08:00:00"	249
"mariah%20carey @Beacon Theatre, 2014-12-18T20:00:00"	717
"katy%20perry @Barclays Center, 2014-07-24T19:00:00"	28
"pitbull @Manhattan Center Hammerstein Ballroom, 2014-09-28T12:00:00"	676
"pitbull @Madison Square Garden, 2014-09-25T19:00:00"	98
"enrique%20iglesias @Madison Square Garden, 2014-09-25T19:00:00"	1588
"tim%20mcgraw @Manhattan Center Hammerstein Ballroom, 2014-09-16T19:00:00688
"madonna @Barclays Center, 2014-02-05T19:00:00"	33
"katy%20perry @Madison Square Garden, 2014-07-09T19:00:00"	1479
"lady%20gaga @Roseland Ballroom, 2014-03-28T20:00:00"	1023
"macklemore @Manhattan Center Hammerstein Ballroom, 2014-05-21T21:00:00"	625
"mariah%20carey @Beacon Theatre, 2014-12-20T20:00:00"	597
"blake%20shelton @Madison Square Garden, 2014-08-01T19:00:00"	1890
"lady%20gaga @Roseland Ballroom, 2014-04-07T20:00:00"	1299
"mariah%20carey @Beacon Theatre, 2014-12-21T20:00:00"	398
"wiz%20khalifa @Webster Hall, 2014-11-17T21:00:00"	370
"justin%20timberlake @Madison Square Garden, 2014-02-20T19:00:00"	1639
"lady%20gaga @Madison Square Garden, 2014-05-13T20:00:00"	1203
"lady%20gaga @Roseland Ballroom, 2014-04-04T20:00:00"	859
"nicki%20minaj @Barclays Center, 2014-09-09T21:00:00"	42
"mariah%20carey @Beacon Theatre, 2014-12-16T20:00:00"	623
"miley%20cyrus @Barclays Center, 2014-04-05T19:00:00"	58
"justin%20timberlake @Madison Square Garden, 2014-02-19T19:00:00"	1592
"lady%20gaga @Roseland Ballroom, 2014-03-31T20:00:00"	973
"pharrell%20williams @Madison Square Garden, 2014-07-15T19:30:00"	1392
"pitbull @Barclays Center, 2014-09-09T21:00:00"	222
"pitbull @Madison Square Garden, 2014-10-30T19:30:00"	1079
"enrique%20iglesias @Madison Square Garden, 2014-10-30T19:30:00"	254
"jason%20mraz @TODAY Show, 2014-07-18T06:00:00"	154
"justin%20timberlake @Manhattan Center Hammerstein Ballroom, 2014-07-10T20:00:00"	621
"iggy%20azalea @JBL Live at Pier 97, 2014-09-26T19:00:00"	16
"jason%20mraz @Radio City Music Hall, 2014-09-23T19:00:00"	615
"lady%20gaga @Roseland Ballroom, 2014-04-06T20:00:00"	700
"wiz%20khalifa @Webster Hall, 2014-11-16T21:00:00"	445
"enrique%20iglesias @Madison Square Garden, 2014-02-15T20:00:00"	1300
"ariana%20grande @Madison Square Garden, 2014-12-12T19:00:00"	271
"mariah%20carey @Beacon Theatre, 2014-12-15T20:00:00"	538
"avicii @Barclays Center, 2014-06-28T20:00:00"	48
"katy%20perry @Barclays Center, 2014-07-25T19:00:00"	22
"lady%20gaga @Roseland Ballroom, 2014-03-30T20:00:00"	730
"chris%20brown @Barclays Center, 2014-10-30T20:00:00"	62
"coldplay @Beacon Theatre, 2014-05-05T21:00:00"	503
"kenny%20chesney @ROCKS OFF Concert Cruise Series, 2014-09-20T19:00:00"	62
